shape,class,index,total_bytes,auth_bytes,other_bytes
transfer,deposit,0,2041800,378784,1663016
transfer,pay2,1,2030536,367520,1663016
transfer,pay1,2,2037800,374784,1663016
transfer,withdraw,3,2038824,375808,1663016
transfer,deposit,4,2033352,370336,1663016
transfer,pay2,5,2039848,376832,1663016
transfer,pay1,6,2038920,375904,1663016
transfer,withdraw,7,2039816,376800,1663016
transfer,deposit,8,2043144,380128,1663016
transfer,pay2,9,2032296,369280,1663016
transfer,pay1,10,2037864,374848,1663016
transfer,withdraw,11,2036840,373824,1663016
transfer,deposit,12,2036264,373248,1663016
transfer,pay2,13,2041352,378336,1663016
transfer,pay1,14,2039784,376768,1663016
transfer,withdraw,15,2036680,373664,1663016
transfer,deposit,16,2039912,376896,1663016
transfer,pay2,17,2037768,374752,1663016
transfer,pay1,18,2035464,372448,1663016
transfer,withdraw,19,2035400,372384,1663016
transfer,deposit,20,2035496,372480,1663016
transfer,pay2,21,2041864,378848,1663016
transfer,pay1,22,2045384,382368,1663016
transfer,withdraw,23,2032296,369280,1663016
transfer,deposit,24,2037256,374240,1663016
transfer,pay2,25,2039272,376256,1663016
transfer,pay1,26,2038024,375008,1663016
transfer,withdraw,27,2036872,373856,1663016
transfer,deposit,28,2042344,379328,1663016
transfer,pay2,29,2038280,375264,1663016
transfer,pay1,30,2031176,368160,1663016
transfer,withdraw,31,2044776,381760,1663016
transfer,deposit,32,2041288,378272,1663016
transfer,pay2,33,2036648,373632,1663016
transfer,pay1,34,2043496,380480,1663016
transfer,withdraw,35,2039176,376160,1663016
transfer,deposit,36,2030568,367552,1663016
transfer,pay2,37,2044392,381376,1663016
transfer,pay1,38,2037832,374816,1663016
transfer,withdraw,39,2035688,372672,1663016
transfer,deposit,40,2036104,373088,1663016
transfer,pay2,41,2039496,376480,1663016
transfer,pay1,42,2040968,377952,1663016
transfer,withdraw,43,2042728,379712,1663016
transfer,deposit,44,2043944,380928,1663016
transfer,pay2,45,2041864,378848,1663016
transfer,pay1,46,2031528,368512,1663016
transfer,withdraw,47,2037896,374880,1663016
transfer,deposit,48,2040936,377920,1663016
transfer,pay2,49,2039624,376608,1663016
transfer,pay1,50,2030760,367744,1663016
transfer,withdraw,51,2040232,377216,1663016
transfer,deposit,52,2035784,372768,1663016
transfer,pay2,53,2043368,380352,1663016
transfer,pay1,54,2043848,380832,1663016
transfer,withdraw,55,2037800,374784,1663016
transfer,deposit,56,2041640,378624,1663016
transfer,pay2,57,2036296,373280,1663016
transfer,pay1,58,2045640,382624,1663016
transfer,withdraw,59,2034920,371904,1663016
transfer,deposit,60,2038024,375008,1663016
transfer,pay2,61,2043816,380800,1663016
transfer,pay1,62,2032840,369824,1663016
transfer,withdraw,63,2032232,369216,1663016
transfer,deposit,64,2041352,378336,1663016
transfer,pay2,65,2037512,374496,1663016
transfer,pay1,66,2034504,371488,1663016
